"file","sourceId","title","status","measures","noteCount","harmonyCount","rawHarmonyCount","parsedHarmonyRatio","uniqueHarmonyCount","sectionCount","keySignature","candidateScore","warnings"
"a-047-Armando's rhumba.musicxml","a","Armando's rhumba","candidate","27","107","76","76","1.000","42","0","Eb","73",""
"a-048-As time goes by.musicxml","a","As time goes by","candidate","29","254","53","54","0.981","11","4","F","91",""
"a-049-Asa.musicxml","a","Asa","candidate","29","260","53","54","0.981","11","4","F","92",""
"a-050-Asa.musicxml","a","Asa","needs-review","26","131","60","60","1.000","20","0","C","66","Ab(b5,#5,b9,#9): Cifra nao reconhecida pelo contrato Find Chord: (b5,#5,b9,#9)"
"a-052-Ask me now.musicxml","a","Ask me now","candidate","33","111","63","63","1.000","21","0","","73",""
"a-053-At last.musicxml","a","At last","candidate","12","62","21","21","1.000","11","0","F","67",""
"a-054-Au privave.musicxml","a","Au privave","candidate","32","115","54","54","1.000","28","0","F","74",""
"a-055-Autumn in New York.musicxml","a","Autumn in New York","candidate","28","68","35","35","1.000","19","2","Bb","68",""
"a-056-Autumn leaves.musicxml","a","Autumn leaves","candidate","33","59","18","18","1.000","6","0","Bb","63",""
"a-057-Avalon.musicxml","a","Avalon","needs-review","46","204","63","63","1.000","39","0","C","55","Bbm9(#5): Cifra nao reconhecida pelo contrato Find Chord: m9(#5) | Db(13): Cifra nao reconhecida pelo contrato Find Chord: (13) | DmM7(9): Cifra nao reconhecida pelo contrato Find Chord: mM7(9)"
"b-002-Baby It's Cold Outside.musicxml","b","Baby It's Cold Outside","candidate","25","177","19","19","1.000","4","0","Bb","80",""
"b-003-Bag's groove.musicxml","b","Bag's groove","candidate","32","167","40","40","1.000","14","3","C","80",""
"b-004-Ballin' the jack.musicxml","b","Ballin' the jack","candidate","13","64","13","13","1.000","9","0","Bb","54",""
"b-005-Ba-lue Bolivar ba-lues are.musicxml","b","Ba-lue Bolivar ba-lues are","candidate","16","102","13","13","1.000","7","0","F","58",""
"b-006-Barbados.musicxml","b","Barbados","needs-review","27","123","49","49","1.000","24","1","Bb","65","F*: Cifra nao reconhecida pelo contrato Find Chord: *"
"b-007-Basin street blues.musicxml","b","Basin street blues","candidate","37","188","58","58","1.000","18","0","Ab","83",""
"b-008-Be bop.musicxml","b","Be bop","candidate","21","48","25","25","1.000","13","0","F","66",""
"b-009-Beautiful love.musicxml","b","Beautiful love","candidate","17","53","32","32","1.000","15","0","C","66",""
"b-010-Bemsha swing.musicxml","b","Bemsha swing","candidate","25","82","29","29","1.000","8","3","F","70",""
"b-011-Bernie's tune.musicxml","b","Bernie's tune","candidate","19","92","24","24","1.000","10","0","Eb","71",""
"b-012-Bessie's blues.musicxml","b","Bessie's blues","candidate","27","88","43","43","1.000","17","0","C","71",""
"b-013-Bewitched.musicxml","b","Bewitched","candidate","25","141","29","29","1.000","11","0","C","77",""
"b-014-Billie's bounce.musicxml","b","Billie's bounce","candidate","13","84","13","13","1.000","6","0","Bb","56",""
"b-015-Bird feather.musicxml","b","Bird feather","needs-review","49","188","51","54","0.944","19","0","G","82",""
"b-016-Birdland.musicxml","b","Birdland","needs-review","48","181","87","93","0.935","33","0","Ab","81",""
"b-019-Birk's works.musicxml","b","Birk's works","candidate","27","93","54","54","1.000","20","0","C","71",""
"b-020-Birth of the blues.musicxml","b","Birth of the blues","candidate","24","95","32","33","0.970","16","0","Db","70",""
"b-021-Black and tan fantasy.musicxml","b","Black and tan fantasy","candidate","36","163","52","52","1.000","24","0","Db","80",""
"b-022-Black coffe.musicxml","b","Black coffe","candidate","24","58","27","27","1.000","13","0","C","67",""
"b-023-Black narcissus.musicxml","b","Black narcissus","needs-review","35","147","60","61","0.984","30","4","F","58","Em7(b5)(9): Cifra nao reconhecida pelo contrato Find Chord: m7(b5)(9) | Gm7(#11): Cifra nao reconhecida pelo contrato Find Chord: m7(#11)"
"b-024-Black nile.musicxml","b","Black nile","candidate","39","103","49","49","1.000","15","0","C","72",""
"b-026-Black Orpheus.musicxml","b","Black Orpheus","candidate","32","121","66","66","1.000","22","2","Eb","75",""
"b-027-Blame it on my youth.musicxml","b","Blame it on my youth","candidate","50","108","23","23","1.000","11","4","F","73",""
"b-028-Blessed relief.musicxml","b","Blessed relief","candidate","12","76","10","10","1.000","6","0","Bb","49",""
"b-029-Bloomdido.musicxml","b","Bloomdido","candidate","17","48","13","13","1.000","8","0","Eb","52",""
"b-030-Blue bossa.musicxml","b","Blue bossa","candidate","20","95","22","22","1.000","13","0","D","71",""
"b-031-Blue Daniel.musicxml","b","Blue Daniel","candidate","13","29","16","16","1.000","11","0","C","55",""
"b-032-Blue in green.musicxml","b","Blue in green","candidate","12","65","13","13","1.000","4","0","Bb","54",""
"b-033-Blue Monk.musicxml","b","Blue Monk","candidate","33","121","87","87","1.000","27","3","Eb","75",""
"b-034-Blue moon.musicxml","b","Blue moon","candidate","26","86","43","43","1.000","11","0","F","70",""
"b-035-Blue room.musicxml","b","Blue room","candidate","15","43","22","22","1.000","10","0","Eb","65",""
"b-036-Blue trane.musicxml","b","Blue trane","candidate","35","99","39","39","1.000","10","0","Eb","72",""
"b-037-Blueberry hill.musicxml","b","Blueberry hill","candidate","12","76","19","19","1.000","16","0","F","67",""
"b-038-Blues for Alice.musicxml","b","Blues for Alice","candidate","24","46","20","20","1.000","19","0","Bb","65",""
"b-039-Bluesette.musicxml","b","Bluesette","candidate","25","103","55","55","1.000","25","0","Db","72",""
"b-040-Body and soul.musicxml","b","Body and soul","needs-review","25","125","27","27","1.000","6","3","C","65","Adi: Cifra nao reconhecida pelo contrato Find Chord: di"
"b-041-Bohemia after dark.musicxml","b","Bohemia after dark","candidate","21","81","20","20","1.000","19","0","C","70",""
"b-042-Bolivia.musicxml","b","Bolivia","candidate","25","148","40","40","1.000","15","0","F","78",""
"b-043-Boplicity.musicxml","b","Boplicity","candidate","26","129","52","52","1.000","23","0","Eb","76",""
"b-044-Born to the blue.musicxml","b","Born to the blue","needs-review","36","167","30","30","1.000","9","0","F","70","Dm(b6): Cifra nao reconhecida pelo contrato Find Chord: m(b6)"
"b-045-Bossa Dorado.musicxml","b","Bossa Dorado","needs-review","92","285","92","92","1.000","30","6","F#","85","C#(b9): Cifra nao reconhecida pelo contrato Find Chord: (b9)"
"b-046-Both sides of the coin.musicxml","b","Both sides of the coin","candidate","33","73","33","33","1.000","18","0","Bb","69",""
"b-049-Boy next door.musicxml","b","Boy next door","needs-review","51","217","80","80","1.000","40","3","F","77","Bbm(b6): Cifra nao reconhecida pelo contrato Find Chord: m(b6)"
"b-050-Bud Powell.musicxml","b","Bud Powell","candidate","12","33","10","10","1.000","6","0","Bb","44",""
"b-052-Bud's blues.musicxml","b","Bud's blues","candidate","25","77","40","40","1.000","23","0","G","69",""
"b-053-But beautyful.musicxml","b","But beautyful","candidate","13","61","9","9","1.000","7","0","Bb","45",""
"b-054-Buzzy.musicxml","b","Buzzy","candidate","32","76","49","49","1.000","20","2","C","69",""
"c-002-Cantaloupe island.musicxml","c","Cantaloupe island","candidate","36","104","20","20","1.000","16","0","Ab","73",""
"c-003-Caravan.musicxml","c","Caravan","candidate","16","41","23","24","0.958","10","0","F","64",""
"c-004-Careless love.musicxml","c","Careless love","candidate","12","50","6","6","1.000","3","0","Ab","38",""
"c-005-Cariba.musicxml","c","Cariba","candidate","33","89","21","21","1.000","15","0","F","71",""
"c-006-Casa forte.musicxml","c","Casa forte","candidate","24","72","30","30","1.000","9","0","","69",""
"c-007-Catch me.musicxml","c","Catch me","needs-review","18","131","8","8","1.000","6","0","Bb","32","Ebpedal: Cifra nao reconhecida pelo contrato Find Chord: pedal | Fpedal: Cifra nao reconhecida pelo contrato Find Chord: pedal"
"c-008-Cedar's blues.musicxml","c","Cedar's blues","candidate","33","214","33","33","1.000","15","0","Bb","86",""
"c-009-Celia.musicxml","c","Celia","candidate","33","123","76","76","1.000","16","0","C","75",""
"c-010-Central park west.musicxml","c","Central park west","candidate","25","139","33","33","1.000","18","0","Ab","77",""
"c-011-Ceora.musicxml","c","Ceora","needs-review","29","89","34","34","1.000","19","0","F","61","Fft/C: Cifra nao reconhecida pelo contrato Find Chord: ft"
"c-012-A certain smile.musicxml","c","A certain smile","candidate","14","65","9","9","1.000","3","0","Bb","46",""
"c-013-Chameleon.musicxml","c","Chameleon","candidate","51","149","73","73","1.000","25","0","C","78",""
"c-014-Cheek to cheek.musicxml","c","Cheek to cheek","needs-review","40","154","41","41","1.000","24","3","F","69","E(b7): Cifra nao reconhecida pelo contrato Find Chord: (b7)"
"c-015-Chega de saudade.musicxml","c","Chega de saudade","candidate","84","215","69","69","1.000","38","4","Bb","86",""
"c-017-Cherokee.musicxml","c","Cherokee","candidate","13","80","15","15","1.000","11","0","C","60",""
"c-018-Cheryl.musicxml","c","Cheryl","candidate","27","73","26","26","1.000","9","0","Bb","69",""
"c-019-Chicken feathers.musicxml","c","Chicken feathers","needs-review","36","178","34","35","0.971","26","0","C","71","Dr.fill: Cifra nao reconhecida pelo contrato Find Chord: r.fill"
"c-020-Chick's tune.musicxml","c","Chick's tune","candidate","24","65","6","6","1.000","4","0","C","40",""
"c-021-Chief Crazy Horse.musicxml","c","Chief Crazy Horse","candidate","32","132","44","44","1.000","28","4","F","76",""
"c-022-Come rain or come shine.musicxml","c","Come rain or come shine","candidate","24","74","36","36","1.000","20","3","Bb","69",""
"c-023-Come sunday.musicxml","c","Come sunday","needs-review","15","33","7","8","0.875","5","0","F","36",""
"c-024-Comin' home baby.musicxml","c","Comin' home baby","candidate","16","45","21","21","1.000","17","0","C","65",""
"c-025-Con Alma.musicxml","c","Con Alma","candidate","34","120","57","57","1.000","19","0","G","75",""
"c-026-Confessin' that i love you.musicxml","c","Confessin' that i love you","candidate","33","196","48","48","1.000","24","0","F","84",""
"c-027-Confirmation.musicxml","c","Confirmation","candidate","26","72","26","26","1.000","7","0","D","69",""
"c-028-Coquette.musicxml","c","Coquette","candidate","42","180","40","40","1.000","24","0","C","82",""
"c-029-Corcovado.musicxml","c","Corcovado","candidate","27","147","42","42","1.000","10","3","Bb","78",""
"c-030-Corner pocket.musicxml","c","Corner pocket","candidate","25","74","35","35","1.000","11","0","Ab","69",""
"c-031-Cottontail.musicxml","c","Cottontail","candidate","20","77","39","39","1.000","15","0","G","69",""
"c-032-Count every star.musicxml","c","Count every star","candidate","12","29","6","6","1.000","3","0","Ab","35",""
"c-033-Cousin Mary.musicxml","c","Cousin Mary","candidate","24","132","32","32","1.000","11","0","Bb","76",""
"c-034-Crazeology.musicxml","c","Crazeology","candidate","25","126","51","51","1.000","24","0","Eb","75",""
"c-035-Cry me a river.musicxml","c","Cry me a river","candidate","37","112","46","46","1.000","21","0","C","74",""
"c-036-Crystal silence.musicxml","c","Crystal silence","candidate","33","128","47","47","1.000","14","0","Bb","76",""
"d-002-D natural blues.musicxml","d","D natural blues","candidate","30","127","38","38","1.000","17","0","","75",""
"d-003-Daahood.musicxml","d","Daahood","candidate","26","63","38","38","1.000","34","0","C","67",""
"d-004-Dancing in the dark.musicxml","d","Dancing in the dark","candidate","24","64","35","35","1.000","12","0","F","68",""
"d-005-Dancing on the ceiling.musicxml","d","Dancing on the ceiling","candidate","26","98","58","58","1.000","24","0","","72",""
"d-006-Darn that dream.musicxml","d","Darn that dream","candidate","18","135","37","37","1.000","11","0","Eb","76",""
"d-007-Dat dere.musicxml","d","Dat dere","needs-review","33","86","35","35","1.000","20","0","F","60","Ebm7(#11): Cifra nao reconhecida pelo contrato Find Chord: m7(#11)"
"d-008-Day of wine and roses.musicxml","d","Day of wine and roses","candidate","26","125","36","36","1.000","13","0","C","75",""
"d-009-Dear John.musicxml","d","Dear John","candidate","35","277","33","33","1.000","13","5","F","94",""
"d-010-Dear old Stockholm.musicxml","d","Dear old Stockholm","candidate","24","53","27","27","1.000","10","0","C","66",""
"d-011-Dearly beloved.musicxml","d","Dearly beloved","candidate","26","58","30","30","1.000","14","0","C","67",""
"d-012-Deed i do.musicxml","d","Deed i do","candidate","35","96","43","43","1.000","17","0","F","72",""
"d-013-Deep purple.musicxml","d","Deep purple","candidate","23","76","24","24","1.000","8","4","C","69",""
"d-014-Deluge.musicxml","d","Deluge","candidate","32","135","29","29","1.000","18","2","","76",""
"d-015-Desafinado.musicxml","d","Desafinado","candidate","55","237","78","78","1.000","32","4","","89",""
"d-017-Detour ahead.musicxml","d","Detour ahead","candidate","26","166","40","40","1.000","15","0","Bb","80",""
"d-018-Dexterity.musicxml","d","Dexterity","candidate","32","121","36","36","1.000","15","0","G","75",""
"d-019-Dinah.musicxml","d","Dinah","candidate","33","127","40","40","1.000","21","4","Eb","75",""
"d-020-Dindi.musicxml","d","Dindi","candidate","26","114","52","52","1.000","22","2","Bb","74",""
"d-021-Do nothing'til you hear from me.musicxml","d","Do nothing'til you hear from me","candidate","27","140","53","53","1.000","19","0","C","77",""
"d-022-Do you know what it means to miss New Orleans -.musicxml","d","Do you know what it means to miss New Orleans ?","candidate","34","91","37","37","1.000","28","3","C","71",""
"d-023-Dolphin dance.musicxml","d","Dolphin dance","candidate","39","220","40","40","1.000","20","2","Ab","87",""
"d-025-Donna Lee.musicxml","d","Donna Lee","candidate","26","73","44","44","1.000","16","0","C","69",""
"d-026-Don't blame me.musicxml","d","Don't blame me","candidate","24","102","45","45","1.000","19","2","C","72",""
"d-027-Don't get around much anymore.musicxml","d","Don't get around much anymore","needs-review","27","112","50","52","0.962","23","3","Bb","63","Fsus4(1,3,7): Cifra nao reconhecida pelo contrato Find Chord: sus4(1,3,7)"
"d-028-Don't go to strangers.musicxml","d","Don't go to strangers","candidate","33","105","43","43","1.000","15","4","C","73",""
"d-029-Don't take your love from me.musicxml","d","Don't take your love from me","candidate","25","164","31","31","1.000","20","0","Db","80",""
"d-030-Doodlin'.musicxml","d","Doodlin'","candidate","36","157","41","41","1.000","16","3","C","79",""
"d-031-Douce ambiance.musicxml","d","Douce ambiance","candidate","17","78","24","24","1.000","10","3","Eb","69",""
"e-002-E.S.P..musicxml","e","E.S.P.","candidate","27","121","43","43","1.000","24","3","C","75",""
"e-003-Early autumn.musicxml","e","Early autumn","candidate","36","110","44","44","1.000","20","0","G","73",""
"e-004-East of the sun.musicxml","e","East of the sun","needs-review","24","88","48","48","1.000","26","2","F","61","G5(#5): Cifra nao reconhecida pelo contrato Find Chord: 5(#5)"
"e-005-Easy living.musicxml","e","Easy living","candidate","25","59","25","25","1.000","13","0","C","67",""
"e-006-Easy to love.musicxml","e","Easy to love","candidate","25","102","41","41","1.000","10","0","Eb","72",""
"e-007-Eclypso.musicxml","e","Eclypso","candidate","43","100","24","24","1.000","4","0","F","72",""
"e-008-Eighty one.musicxml","e","Eighty one","candidate","18","86","16","16","1.000","12","0","C","62",""
"e-009-El gaucho.musicxml","e","El gaucho","candidate","40","102","45","45","1.000","32","2","G","72",""
"e-010-Emily.musicxml","e","Emily","candidate","34","143","56","56","1.000","22","0","F","77",""
"e-011-End of a love affair.musicxml","e","End of a love affair","candidate","34","154","59","59","1.000","8","4","C","79",""
"e-012-Epistrophy.musicxml","e","Epistrophy","needs-review","20","66","17","20","0.850","13","1","E","59",""
"e-013-Equinox.musicxml","e","Equinox","candidate","26","136","40","40","1.000","17","0","G","77",""
"e-014-Eronel.musicxml","e","Eronel","candidate","44","144","38","38","1.000","17","0","C","78",""
"e-015-Estaté.musicxml","e","Estaté","candidate","32","111","34","34","1.000","19","0","F","73",""
"e-016-Everybody loves my baby.musicxml","e","Everybody loves my baby","candidate","28","157","59","59","1.000","29","3","Bb","79",""
"e-017-Everythong happens to me.musicxml","e","Everythong happens to me","needs-review","63","117","54","54","1.000","22","0","C","64","Dm(b7): Cifra nao reconhecida pelo contrato Find Chord: m(b7)"
"e-018-Everything's coming up roses.musicxml","e","Everything's coming up roses","candidate","24","54","34","34","1.000","12","0","Eb","66",""
"e-019-Evidence.musicxml","e","Evidence","candidate","32","111","37","37","1.000","13","0","C","73",""
"e-020-Exactly like you.musicxml","e","Exactly like you","candidate","13","83","16","16","1.000","13","0","C","62",""
"f-002-F Blues Tootsie.musicxml","f","F Blues Tootsie","needs-review","57","234","51","51","1.000","27","6","Ab","69","D(b9,#9): Cifra nao reconhecida pelo contrato Find Chord: (b9,#9) | G(b9): Cifra nao reconhecida pelo contrato Find Chord: (b9)"
"f-003-Fables of Faubus.musicxml","f","Fables of Faubus","needs-review","39","128","37","37","1.000","20","0","C","66","An: Cifra nao reconhecida pelo contrato Find Chord: n"
"f-004-Fair weather.musicxml","f","Fair weather","candidate","26","95","30","30","1.000","26","0","C","71",""
"f-005-Falling grace.musicxml","f","Falling grace","candidate","33","140","42","42","1.000","18","0","Db","77",""
"f-006-Far Wes.musicxml","f","Far Wes","candidate","41","153","57","57","1.000","16","3","Bb","79",""
"f-007-Favela.musicxml","f","Favela","candidate","24","85","33","34","0.971","14","0","Bb","69",""
"f-008-Fee-fi-fo-fum.musicxml","f","Fee-fi-fo-fum","candidate","17","77","20","20","1.000","13","0","Eb","69",""
"f-009-Feel like making love.musicxml","f","Feel like making love","candidate","56","131","38","38","1.000","20","0","F","76",""
"f-010-Feels so good.musicxml","f","Feels so good","candidate","66","179","80","80","1.000","30","0","Eb","82",""
"f-011-Felicidade.musicxml","f","Felicidade","candidate","21","93","17","17","1.000","9","0","Ab","65",""
"f-012-Festive minor.musicxml","f","Festive minor","needs-review","23","97","8","9","0.889","4","0","C","36","An: Cifra nao reconhecida pelo contrato Find Chord: n"
"f-013-Fever.musicxml","f","Fever","candidate","54","267","52","53","0.981","16","4","Bb","93",""
"f-014-Filthy McNasty.musicxml","f","Filthy McNasty","candidate","46","164","28","28","1.000","17","3","C","80",""
"f-015-Firm roots.musicxml","f","Firm roots","candidate","27","119","43","43","1.000","19","0","C","74",""
"f-016-Five brothers.musicxml","f","Five brothers","needs-review","19","49","11","12","0.917","10","0","C","46",""
"f-017-500 miles high.musicxml","f","500 miles high","candidate","12","50","9","9","1.000","7","0","Ab","44",""
"f-018-Five spot after dark.musicxml","f","Five spot after dark","candidate","27","73","40","40","1.000","17","3","F","69",""
"f-019-Flamingo.musicxml","f","Flamingo","candidate","28","75","37","37","1.000","15","1","C","69",""
"f-020-Fly me to the moon.musicxml","f","Fly me to the moon","candidate","29","168","49","49","1.000","16","3","Eb","81",""
"f-021-Flying home.musicxml","f","Flying home","candidate","32","99","35","35","1.000","13","0","C","72",""
"f-022-Fools rush in.musicxml","f","Fools rush in","needs-review","17","132","15","15","1.000","11","0","Eb","56","F#m7(b5)(9,11): Cifra nao reconhecida pelo contrato Find Chord: m7(b5)(9,11)"
"f-023-Footprints.musicxml","f","Footprints","candidate","25","72","42","42","1.000","25","0","","69",""
"f-024-For all we know.musicxml","f","For all we know","candidate","35","196","61","61","1.000","12","3","Db","84",""
"f-025-For regulars only.musicxml","f","For regulars only","candidate","35","121","67","67","1.000","15","0","F","75",""
"f-026-For sentimentals reasons.musicxml","f","For sentimentals reasons","candidate","33","94","23","23","1.000","17","0","C","71",""
"f-027-Forest flower.musicxml","f","Forest flower","needs-review","41","169","40","40","1.000","15","2","Eb","71","Break: Cifra nao reconhecida pelo contrato Find Chord: reak"
"f-028-Four.musicxml","f","Four","candidate","26","155","40","40","1.000","19","3","Ab","79",""
"f-029-Four brothers.musicxml","f","Four brothers","needs-review","46","107","53","56","0.946","24","2","Bb","62","Eb(#11,b9): Cifra nao reconhecida pelo contrato Find Chord: (#11,b9)"
"f-030-Four on six.musicxml","f","Four on six","candidate","16","90","9","9","1.000","4","0","Eb","49",""
"f-031-Freddie the freeloader.musicxml","f","Freddie the freeloader","needs-review","17","88","3","6","0.500","1","0","Bb","27",""
"f-032-Freedom jazz dance.musicxml","f","Freedom jazz dance","candidate","13","70","22","22","1.000","20","0","Ab","68",""
"f-033-Freight trane.musicxml","f","Freight trane","candidate","29","168","51","51","1.000","20","0","C","81",""
"f-034-Friday night at the Cadillac club.musicxml","f","Friday night at the Cadillac club","candidate","26","113","33","33","1.000","19","0","Eb","74",""
"f-035-Fried bananas.musicxml","f","Fried bananas","candidate","27","186","36","36","1.000","7","1","C","83",""
"f-036-Friends and strangers.musicxml","f","Friends and strangers","candidate","43","279","59","59","1.000","25","1","C","94",""
