"decisionType","risk","bucketId","bucketTitle","file","title","selectedCenter","selectedCenterSource","proposalCount","referenceOverlapCount","primaryProposalName","action","primaryChords"
"Cromatismo","alto","chromatic-linear","Cromatico linear","d-017-Detour ahead.musicxml","Detour ahead","Bb major","reference","10","8","Estratégia — Cromático Linear","Ouvir se diminutos e dominantes cromaticos funcionam como conducao ou se viraram artificio.","Bbmaj7 / Ddim7/B / Ddim7/B | Am7b5/C"
"Cromatismo","alto","chromatic-linear","Cromatico linear","e-002-E.S.P..musicxml","E.S.P.","C major","reference","9","8","Estratégia — Cromático Linear","Ouvir se diminutos e dominantes cromaticos funcionam como conducao ou se viraram artificio.","Cmaj7 / Cdim7/Db / D7 / G#dim7/G"
"Conducao de baixo","medio","bass-counterpoint","Contraponto de baixo","b-037-Blueberry hill.musicxml","Blueberry hill","D minor","reference","10","8","Estratégia — Contraponto de Baixo","Verificar se as inversoes suavizam a progressao sem esconder a funcao harmonica.","Dm7 / Gm6 / E7/G# / A7 / Dmaj7"
"Conducao de baixo","medio","bass-counterpoint","Contraponto de baixo","a-039-Another Time.musicxml","Another Time","Bb major","reference","9","8","Estratégia — Contraponto de Baixo","Verificar se as inversoes suavizam a progressao sem esconder a funcao harmonica.","Bbmaj7 / F7/Eb / C7/E / A7/F / G#dim7/Bb"
"Conducao de baixo","medio","bass-counterpoint","Contraponto de baixo","e-008-Eighty one.musicxml","Eighty one","F minor","reference","9","8","Estratégia — Contraponto de Baixo","Verificar se as inversoes suavizam a progressao sem esconder a funcao harmonica.","Fmaj9 / Bbmaj7 / G7/B / E7/C / Fmaj9"
"Centro menor","medio","minor-centers","Centros menores","b-035-Blue room.musicxml","Blue room","C minor","reference","10","8","Estratégia — Tonal Clássico","Checar se o centro menor escolhido e funcional, modal ou apenas induzido pela cifra de referencia.","Cmaj7 / G7/F / Cmaj7/G / Cmaj7"
"Centro menor","medio","minor-centers","Centros menores","b-043-Boplicity.musicxml","Boplicity","C minor","reference","8","8","Estratégia — Centro de referência","Checar se o centro menor escolhido e funcional, modal ou apenas induzido pela cifra de referencia.","Abmaj7 | Cm6/G | Cm | Cm | Fm7 | Fm7 | Dm7b5 | Cm"
"Centro menor","medio","minor-centers","Centros menores","c-006-Casa forte.musicxml","Casa forte","D minor","reference","8","8","Estratégia — Contraponto de Baixo","Checar se o centro menor escolhido e funcional, modal ou apenas induzido pela cifra de referencia.","Dmaj7 / Gmaj7 / Fmaj7/E / A7 / Dmaj7"
"Forma curta","medio","short-forms","Formas curtas","a-053-At last.musicxml","At last","F major","reference","8","8","Estratégia — Tonal Clássico","Validar se a primeira janela representa a obra ou se a escolha precisa de contexto formal.","Fmaj7 / Gm7/Bb / Fmaj7(#11)/C / Fmaj7"
"Forma curta","medio","short-forms","Formas curtas","c-003-Caravan.musicxml","Caravan","F major","reference","6","8","Estratégia — Tonal Clássico","Validar se a primeira janela representa a obra ou se a escolha precisa de contexto formal.","Fmaj7 / Bbmaj7 / C13 / Fmaj9"
"Forma curta","medio","short-forms","Formas curtas","b-031-Blue Daniel.musicxml","Blue Daniel","Bb major","reference","6","8","Estratégia — Contraponto de Baixo","Validar se a primeira janela representa a obra ou se a escolha precisa de contexto formal.","Edim7/Bb / Ebmaj7 / Dm7/C / F7 / Bbmaj7"
"Legibilidade","medio","dense-harmony","Alta densidade harmonica","b-026-Black Orpheus.musicxml","Black Orpheus","Eb major","reference","8","8","Estratégia — Tonal Clássico","Conferir se a cifra gerada e legivel para usuario antes de mostrar alternativas mais densas.","Ebmaj7 / Fm7/Ab / Bb7 / Ebmaj7"
"Legibilidade","medio","dense-harmony","Alta densidade harmonica","c-013-Chameleon.musicxml","Chameleon","C major","reference","7","8","Estratégia — Tonal Clássico","Conferir se a cifra gerada e legivel para usuario antes de mostrar alternativas mais densas.","C6 / Fmaj7 / C6/G / Cmaj7"
"Legibilidade","medio","dense-harmony","Alta densidade harmonica","a-027-All of you.musicxml","All of you","A minor","reference","5","8","Estratégia — Cromático Linear","Conferir se a cifra gerada e legivel para usuario antes de mostrar alternativas mais densas.","Amaj7 / C#dim7/Bb / C#dim7/Bb / B#dim7/B"
